300.000,0.071
294.036,-1.535
288.072,-3.141
282.108,-4.747
276.144,-6.353
270.180,-7.959
264.216,-9.565
258.088,-9.929
251.911,-9.929
245.735,-9.929
239.558,-9.929
233.382,-9.929
227.205,-9.929
221.029,-9.929
214.853,-9.929
208.676,-9.929
202.500,-9.929
196.323,-9.929
190.147,-9.929
183.970,-9.929
177.794,-9.929
171.618,-9.929
165.441,-9.929
159.265,-9.929
153.088,-9.929
146.912,-9.929
140.735,-9.929
134.559,-9.929
128.382,-9.929
122.206,-9.929
116.030,-9.929
109.853,-9.929
103.677,-9.929
97.500,-9.929
91.324,-9.929
85.147,-9.929
78.971,-9.929
72.795,-9.929
66.618,-9.929
60.442,-9.929
54.265,-9.929
48.089,-9.929
41.912,-9.929
35.784,-9.565
29.820,-7.959
23.856,-6.353
17.892,-4.747
11.928,-3.141
5.964,-1.535
0.000,0.071
