0.000,-0.000,0.000,0.000
0.006,0.004,-0.005,0.006
0.025,0.018,-0.018,0.024
0.056,0.039,-0.041,0.053
0.099,0.070,-0.073,0.093
0.155,0.108,-0.113,0.145
0.223,0.155,-0.162,0.207
0.304,0.209,-0.219,0.280
0.396,0.271,-0.284,0.364
0.501,0.340,-0.356,0.457
0.619,0.417,-0.437,0.560
0.748,0.501,-0.525,0.673
0.890,0.592,-0.620,0.795
1.044,0.689,-0.722,0.926
1.210,0.794,-0.831,1.066
1.389,0.904,-0.947,1.215
1.579,1.021,-1.069,1.372
1.782,1.144,-1.198,1.537
1.997,1.272,-1.332,1.711
2.224,1.407,-1.473,1.892
2.463,1.546,-1.619,2.080
2.714,1.691,-1.771,2.276
2.977,1.842,-1.928,2.478
3.252,1.997,-2.091,2.687
3.539,2.157,-2.258,2.903
3.839,2.321,-2.430,3.125
4.150,2.490,-2.607,3.353
4.473,2.663,-2.788,3.587
4.808,2.840,-2.974,3.826
5.155,3.021,-3.163,4.070
5.514,3.205,-3.356,4.320
5.885,3.393,-3.553,4.574
6.268,3.585,-3.754,4.833
6.663,3.779,-3.957,5.097
7.069,3.976,-4.164,5.364
7.488,4.176,-4.373,5.635
7.918,4.379,-4.585,5.910
8.360,4.584,-4.800,6.188
8.813,4.791,-5.017,6.469
9.279,5.000,-5.236,6.753
9.756,5.211,-5.457,7.040
10.245,5.424,-5.680,7.329
10.746,5.638,-5.904,7.620
11.258,5.854,-6.129,7.914
11.782,6.070,-6.356,8.209
12.318,6.287,-6.584,8.505
12.865,6.506,-6.812,8.803
13.424,6.724,-7.041,9.101
13.994,6.943,-7.270,9.400
14.576,7.163,-7.500,9.700
15.170,7.382,-7.730,10.000
15.775,7.601,-7.959,10.300
16.392,7.820,-8.188,10.600
17.020,8.038,-8.416,10.899
17.660,8.255,-8.644,11.197
18.311,8.472,-8.871,11.495
18.973,8.687,-9.096,11.791
19.648,8.901,-9.320,12.086
20.333,9.114,-9.543,12.380
21.030,9.325,-9.764,12.671
21.738,9.534,-9.983,12.960
22.458,9.741,-10.200,13.247
23.189,9.946,-10.415,13.531
23.931,10.149,-10.627,13.812
24.685,10.349,-10.836,14.090
25.450,10.546,-11.043,14.365
26.226,10.741,-11.246,14.636
27.013,10.932,-11.447,14.903
27.812,11.120,-11.644,15.167
28.622,11.304,-11.837,15.426
29.443,11.485,-12.026,15.680
30.275,11.662,-12.212,15.930
31.119,11.835,-12.393,16.174
31.973,12.004,-12.570,16.413
32.839,12.169,-12.742,16.647
33.716,12.328,-12.909,16.875
34.604,12.484,-13.072,17.097
35.503,12.634,-13.229,17.313
36.413,12.779,-13.381,17.522
37.335,12.919,-13.527,17.724
38.267,13.053,-13.668,17.920
39.210,13.182,-13.802,18.108
40.164,13.304,-13.931,18.289
41.129,13.421,-14.053,18.463
42.106,13.532,-14.169,18.628
43.093,13.636,-14.278,18.785
44.091,13.733,-14.380,18.934
45.100,13.824,-14.475,19.074
46.119,13.908,-14.563,19.205
47.150,13.985,-14.644,19.327
48.192,14.054,-14.716,19.440
49.244,14.116,-14.781,19.543
50.307,14.171,-14.838,19.636
51.381,14.217,-14.887,19.720
