name,type,start_time,duration
"Test Analyzer","error",0.0033982,0.0032106
"Test Analyzer","enable",0.0091995,0.0000001
"Test Analyzer","disable",0.0118093,0.0000001
"Test Analyzer","error",0.0119958,0.0021188
"Test Analyzer","enable",0.0153987,0.0000001
"Test Analyzer","disable",0.0163472,0.0000001
"Test Analyzer","enable",0.0169624,0.0000001
"Test Analyzer","disable",0.0170953,0.0000001
"Test Analyzer","error",0.0173311,0.0019536
"Test Analyzer","enable",0.0193124,0.0000001
"Test Analyzer","disable",0.0219725,0.0000001
"Test Analyzer","enable",0.0240894,0.0000001
"Test Analyzer","disable",0.0260277,0.0000001
"Test Analyzer","enable",0.0289708,0.0000001
"Test Analyzer","disable",0.0296019,0.0000001
"Test Analyzer","enable",0.032359,0.0000001
"Test Analyzer","disable",0.0350716,0.0000001
"Test Analyzer","enable",0.0362718,0.0000001
"Test Analyzer","disable",0.0370175,0.0000001
"Test Analyzer","error",0.0388723,0.0020766
"Test Analyzer","enable",0.0425736,0.0000001
"Test Analyzer","disable",0.0438838,0.0000001
"Test Analyzer","error",0.0439231,0.0015136
"Test Analyzer","error",0.0468644,0.0016238
"Test Analyzer","error",0.0505141,0.000619
"Test Analyzer","enable",0.0534749,0.0000001
"Test Analyzer","disable",0.0535389,0.0000001
"Test Analyzer","enable",0.0546601,0.0000001
"Test Analyzer","disable",0.0572827,0.0000001
"Test Analyzer","enable",0.0585874,0.0000001
"Test Analyzer","disable",0.059807,0.0000001
"Test Analyzer","error",0.0600422,0.0009088
"Test Analyzer","error",0.0642147,0.0000897
"Test Analyzer","enable",0.0647734,0.0000001
"Test Analyzer","disable",0.0649026,0.0000001
"Test Analyzer","enable",0.0668762,0.0000001
"Test Analyzer","disable",0.0699317,0.0000001
"Test Analyzer","error",0.070657,0.0005139
"Test Analyzer","enable",0.0717576,0.0000001
"Test Analyzer","disable",0.0734116,0.0000001
"Test Analyzer","error",0.0734516,0.0026223
"Test Analyzer","enable",0.0785995,0.0000001
"Test Analyzer","disable",0.0796874,0.0000001
"Test Analyzer","error",0.080976,0.0020384
"Test Analyzer","enable",0.0838322,0.0000001
"Test Analyzer","disable",0.0851292,0.0000001
"Test Analyzer","error",0.0857725,0.0021521
"Test Analyzer","enable",0.0897771,0.0000001
"Test Analyzer","disable",0.0929869,0.0000001
"Test Analyzer","enable",0.0960122,0.0000001
"Test Analyzer","disable",0.0987568,0.0000001
"Test Analyzer","enable",0.102026,0.0000001
"Test Analyzer","disable",0.1029291,0.0000001
"Test Analyzer","error",0.1055609,0.0026367
"Test Analyzer","error",0.108324,0.000595
"Test Analyzer","error",0.1095985,0.0029267
"Test Analyzer","enable",0.1127722,0.0000001
"Test Analyzer","disable",0.1138538,0.0000001
"Test Analyzer","enable",0.1162017,0.0000001
"Test Analyzer","disable",0.117833,0.0000001
"Test Analyzer","enable",0.1205715,0.0000001
"Test Analyzer","disable",0.1228095,0.0000001
"Test Analyzer","enable",0.1254632,0.0000001
"Test Analyzer","disable",0.1258375,0.0000001
"Test Analyzer","error",0.1273032,0.0000943
"Test Analyzer","enable",0.128286,0.0000001
"Test Analyzer","disable",0.1287432,0.0000001
"Test Analyzer","error",0.1304621,0.0019618
"Test Analyzer","enable",0.132891,0.0000001
"Test Analyzer","disable",0.1357591,0.0000001
"Test Analyzer","error",0.138201,0.0029538
"Test Analyzer","error",0.1429029,0.0020834
"Test Analyzer","error",0.1464557,0.0014557
"Test Analyzer","enable",0.1480775,0.0000001
"Test Analyzer","disable",0.1509884,0.0000001
"Test Analyzer","enable",0.1523578,0.0000001
"Test Analyzer","disable",0.1539604,0.0000001
"Test Analyzer","enable",0.1570735,0.0000001
"Test Analyzer","disable",0.1599345,0.0000001
"Test Analyzer","error",0.1600301,0.0008808
"Test Analyzer","enable",0.1621063,0.0000001
"Test Analyzer","disable",0.1652292,0.0000001
"Test Analyzer","enable",0.1672205,0.0000001
"Test Analyzer","disable",0.1695662,0.0000001
"Test Analyzer","enable",0.1720373,0.0000001
"Test Analyzer","disable",0.1731857,0.0000001
"Test Analyzer","error",0.1742053,0.0006633
"Test Analyzer","error",0.1778463,0.0013966
"Test Analyzer","error",0.1795886,0.0020052
"Test Analyzer","enable",0.1822467,0.0000001
"Test Analyzer","disable",0.1842884,0.0000001
"Test Analyzer","enable",0.1855146,0.0000001
"Test Analyzer","disable",0.1861905,0.0000001
"Test Analyzer","enable",0.1881443,0.0000001
"Test Analyzer","disable",0.1909555,0.0000001
"Test Analyzer","enable",0.1938932,0.0000001
"Test Analyzer","disable",0.1948657,0.0000001
"Test Analyzer","enable",0.1950661,0.0000001
"Test Analyzer","disable",0.1972751,0.0000001
"Test Analyzer","error",0.2003089,0.0018259
"Test Analyzer","enable",0.2049351,0.0000001
"Test Analyzer","disable",0.2070392,0.0000001
"Test Analyzer","error",0.2073138,0.0010979
"Test Analyzer","enable",0.2112786,0.0000001
"Test Analyzer","disable",0.2114729,0.0000001
"Test Analyzer","enable",0.2133699,0.0000001
"Test Analyzer","disable",0.2141723,0.0000001
"Test Analyzer","error",0.2162607,0.0006145
"Test Analyzer","error",0.2182062,0.0018331
"Test Analyzer","enable",0.2211856,0.0000001
"Test Analyzer","disable",0.2242265,0.0000001
"Test Analyzer","enable",0.2249604,0.0000001
"Test Analyzer","disable",0.2278808,0.0000001
"Test Analyzer","error",0.2291082,0.0005748
"Test Analyzer","error",0.230455,0.0018447
"Test Analyzer","enable",0.2341075,0.0000001
"Test Analyzer","disable",0.2365881,0.0000001
"Test Analyzer","error",0.2366961,0.0026869
"Test Analyzer","error",0.2396011,0.0001155
"Test Analyzer","error",0.2402816,0.0000066
"Test Analyzer","error",0.2408711,0.0017434
"Test Analyzer","error",0.244039,0.0012537
"Test Analyzer","error",0.2462047,0.0006267
"Test Analyzer","enable",0.2483076,0.0000001
"Test Analyzer","disable",0.2494397,0.0000001
"Test Analyzer","enable",0.2501801,0.0000001
"Test Analyzer","disable",0.2515222,0.0000001
"Test Analyzer","enable",0.2545957,0.0000001
"Test Analyzer","disable",0.2577087,0.0000001
"Test Analyzer","error",0.2582048,0.0006999
"Test Analyzer","enable",0.2599161,0.0000001
"Test Analyzer","disable",0.2600049,0.0000001
"Test Analyzer","enable",0.2611153,0.0000001
"Test Analyzer","disable",0.2617562,0.0000001
"Test Analyzer","enable",0.263255,0.0000001
"Test Analyzer","disable",0.2649049,0.0000001
"Test Analyzer","error",0.2672212,0.0022098
"Test Analyzer","error",0.2700915,0.0013484
"Test Analyzer","enable",0.2725147,0.0000001
"Test Analyzer","disable",0.2754884,0.0000001
"Test Analyzer","enable",0.2769375,0.0000001
"Test Analyzer","disable",0.2801718,0.0000001
"Test Analyzer","enable",0.2816926,0.0000001
"Test Analyzer","disable",0.2849656,0.0000001
"Test Analyzer","enable",0.2879736,0.0000001
"Test Analyzer","disable",0.2900961,0.0000001
"Test Analyzer","error",0.2906952,0.0006788
"Test Analyzer","error",0.294628,0.002794
"Test Analyzer","enable",0.2985559,0.0000001
"Test Analyzer","disable",0.3005522,0.0000001
"Test Analyzer","enable",0.3030693,0.0000001
"Test Analyzer","disable",0.3050082,0.0000001
"Test Analyzer","enable",0.3066597,0.0000001
"Test Analyzer","disable",0.306997,0.0000001
"Test Analyzer","error",0.3091701,0.000527
"Test Analyzer","error",0.3101379,0.0029947
"Test Analyzer","error",0.3138032,0.0027916
"Test Analyzer","error",0.3175317,0.0007018
"Test Analyzer","error",0.3209521,0.0015097
"Test Analyzer","error",0.3242161,0.0032665
"Test Analyzer","error",0.3292739,0.002753
"Test Analyzer","error",0.3348566,0.0003547
"Test Analyzer","error",0.3356113,0.0014983
"Test Analyzer","enable",0.3399365,0.0000001
"Test Analyzer","disable",0.3405508,0.0000001
"Test Analyzer","error",0.3418335,0.0014994
"Test Analyzer","enable",0.3462636,0.0000001
"Test Analyzer","disable",0.3482094,0.0000001
"Test Analyzer","enable",0.3499784,0.0000001
"Test Analyzer","disable",0.3501503,0.0000001
"Test Analyzer","enable",0.3526984,0.0000001
"Test Analyzer","disable",0.3533232,0.0000001
"Test Analyzer","error",0.3536189,0.0023192
"Test Analyzer","enable",0.3559665,0.0000001
"Test Analyzer","disable",0.3571443,0.0000001
"Test Analyzer","enable",0.3600101,0.0000001
"Test Analyzer","disable",0.3626437,0.0000001
"Test Analyzer","error",0.3643693,0.0010142
"Test Analyzer","error",0.3677152,0.0014825
"Test Analyzer","enable",0.3695685,0.0000001
"Test Analyzer","disable",0.3719428,0.0000001
"Test Analyzer","error",0.3721963,0.0005953
"Test Analyzer","error",0.3734387,0.0020616
"Test Analyzer","enable",0.377534,0.0000001
"Test Analyzer","disable",0.3798143,0.0000001
"Test Analyzer","enable",0.379986,0.0000001
"Test Analyzer","disable",0.3809871,0.0000001
"Test Analyzer","enable",0.383581,0.0000001
"Test Analyzer","disable",0.3854266,0.0000001
"Test Analyzer","enable",0.3875891,0.0000001
"Test Analyzer","disable",0.3903571,0.0000001
"Test Analyzer","enable",0.3903734,0.0000001
"Test Analyzer","disable",0.3910833,0.0000001
"Test Analyzer","error",0.3926467,0.0018189
"Test Analyzer","error",0.3969086,0.0013641
"Test Analyzer","enable",0.3983343,0.0000001
"Test Analyzer","disable",0.3999542,0.0000001
"Test Analyzer","error",0.4028303,0.0012348
"Test Analyzer","enable",0.4059598,0.0000001
"Test Analyzer","disable",0.4084335,0.0000001
"Test Analyzer","error",0.4101799,0.0013385
"Test Analyzer","error",0.4132398,0.0029711
"Test Analyzer","error",0.41928,0.0028345
"Test Analyzer","error",0.4252608,0.0025
"Test Analyzer","error",0.428645,0.0023737
"Test Analyzer","enable",0.4342723,0.0000001
"Test Analyzer","disable",0.4370133,0.0000001
"Test Analyzer","error",0.4393512,0.0026695
"Test Analyzer","enable",0.4429991,0.0000001
"Test Analyzer","disable",0.4459421,0.0000001
"Test Analyzer","enable",0.4462759,0.0000001
"Test Analyzer","disable",0.4484309,0.0000001
"Test Analyzer","error",0.4489082,0.0020616
"Test Analyzer","enable",0.4540501,0.0000001
"Test Analyzer","disable",0.4546301,0.0000001
"Test Analyzer","enable",0.4554411,0.0000001
"Test Analyzer","disable",0.4565775,0.0000001
"Test Analyzer","enable",0.4574603,0.0000001
"Test Analyzer","disable",0.4577235,0.0000001
"Test Analyzer","error",0.460669,0.0003985
"Test Analyzer","enable",0.4611408,0.0000001
"Test Analyzer","disable",0.4641434,0.0000001
"Test Analyzer","error",0.4642308,0.0026577
"Test Analyzer","enable",0.4677559,0.0000001
"Test Analyzer","disable",0.4696541,0.0000001
"Test Analyzer","error",0.4722391,0.0005894
"Test Analyzer","enable",0.4745967,0.0000001
"Test Analyzer","disable",0.4766493,0.0000001
"Test Analyzer","error",0.4793939,0.001418
"Test Analyzer","enable",0.4821843,0.0000001
"Test Analyzer","disable",0.4847994,0.0000001
"Test Analyzer","enable",0.4878871,0.0000001
"Test Analyzer","disable",0.490493,0.0000001
"Test Analyzer","enable",0.4931299,0.0000001
"Test Analyzer","disable",0.4946557,0.0000001
"Test Analyzer","enable",0.4973413,0.0000001
"Test Analyzer","disable",0.5000978,0.0000001
"Test Analyzer","enable",0.5009534,0.0000001
"Test Analyzer","disable",0.5031645,0.0000001
"Test Analyzer","error",0.5056383,0.0019116
"Test Analyzer","enable",0.5082804,0.0000001
"Test Analyzer","disable",0.5086713,0.0000001
